"Gene"
"ASXL1"
"BCOR"
"CEBPA"
"CSF3R"
"CUX1"
"DNMT3A"
"ETV6"
"EZH2"
"GATA1"
"GATA2"
"IDH1"
"IDH2"
"JAK2"
"KMT2A"
"MPL"
"NF1"
"NRAS"
"PHF6"
"RAD21"
"RUNX1"
"SETBP1"
"SF3B1"
"SRSF2"
"STAG2"
"TET2"
"TP53"
"U2AF1;U2AF1L5"
"ZRSR2"
